name,milliseconds
Pride (In The Name Of Love),230243
Manuel,230269
Flight Of The Icarus,230269
Mr. Cab Driver,230321
Gostava Tanto De Você,230452
Go Back,230504
Something In The Way,230556
Brain Damage,230556
Por Merecer,230582
Fast As a Shark,230619
When You Gonna Learn (Digeridoo),230635
Endgame,230687
Until We Fall,230758
Daniela,230791
Love Is Strong,230896
Heart In Your Hand,230896
Dealer,230922
A Sombra Da Maldade,230922
Linha de Passe (João Bosco),230948
Look What You've Done,230974
Get Down, Make Love,231235
Rhythm of Love,231246
A Cor Do Sol,231392
Easily,231418
Monkey Wrench,231523
Ghosts,231547
Run To The Hills,231627
Cérebro Eletrônico (Live),231627
Think About You,231640
Trac Trac,231653
One Step Closer,231680
Orange Crush,231706
Lay Down Sally,231732
Once,231758
Tempus Fugit,231784
[Untitled],231784
All Night Thing,231803
Rock Das Aranhas (Ao Vivo) (Live),231836
Nobody Knows You When You're Down & Out,231836
My Bridges Burn,231862
Cropduster,231888
Asas,231915
O Último Romântico (Ao Vivo),231993
Underwater Love,231993
Bleed Together,232202
Podes Crer,232280
Upon A Golden Horse,232359
Tryin' To Throw Your Arms Around The World,232463
Always On The Run,232515
Innocent Exile,232515
As Profecias,232515
It's Only Love,232594
The Trooper,232672
Corpo De Lama,232672
Pristina,232698
Holiday,232724
Wildest Dreams,232777
Gimme Some Truth,232778
Maria Rosa,232803
Armadura,232881
The Zephyr Song,232960
As The Years Go by,233064
Be Quick Or Be Dead,233142
Man Or Animal,233195
Jewel of the Summertime,233242
Boogie With Stu,233273
Olodum - Alegria Geral,233404
Carnival Of Sorts,233482
The Maids Of Cadiz,233534
Friends,233560
Lady Double Dealer,233586
Given To Fly,233613
Soul Singing,233639
Três Lados,233665
Drown Me Slowly,233691
Mágica,233743
The Pan Piper,233769
Here I Go Again,233874
Let's Get It Up,233926
War Pigs,234013
Longview,234083
Intro / Stronger Than Me,234200
Speak To Me/Breathe,234213
The Struggle Within,234240
Life Wasted,234344
Apesar De Você,234501
Debra Kadabra,234553
Going To California,234605
The Apparition,234605
Kayleigh,234605
Aos Leões,234684
Pick Myself Up,234684
Le Sacre Du Printemps: I.iv. Spring Rounds,234746
The Three Sunrises,234788
Kir Royal,234788
Cornucopia,234814
Live With Me,234893
De Ouro E Marfim (Live),234971
Iron Maiden,235232
You've Got It,235232
When My Left Eye Jumps,235311
I Don't Live Today,235311
The Trooper,235311
Daughter,235598
Natália,235728
Take The Power,235755
Comin' Home,235781
Until My Dying Day,235807
Olodum - Smile (Instrumental),235833
All For You,235833
Praise,235833
Run To The Hills,235859
Do It For The Kids,235911
Hairshirt,235911
Jump Around (Pete Rock Remix),236120
01 - Prowler,236173
Flor De Lis,236355
Um Pro Outro,236382
O Erê,236382
So Por Amor,236591
Under Pressure,236617
Call Me At Cleo´s,236617
Rain,236669
Refavela (Live),236695
Ainda É Cedo,236826
American Gothic,236878
Home Sweet Home,236904
Real Love,236911
Shamrocks And Shenanigans (Boom Shalock Lock Boom/Butch Vig Mix),237035
Menina Bonita,237087
Poison Eye,237120
Falamansa Song,237165
Funk De Bamba (Com Fernanda Abreu),237191
Wasted My Hate,237296
Funk de Bamba,237322
It's Just A Thought,237374
Dancin´Days,237400
Todo o Carnaval tem seu Fim,237426
Bushleager,237479
Realword,237531
Run To The Hilss,237557
A New Flame,237662
Pretty Baby,237662
Um Jantar Pra Dois,237714
The Worm,237714
Dirty Little Thing,237844
New Love,237897
19th Nervous Breakdown,237923
A Rua,238027
Nothing To Say,238027
Alô Alô Marciano,238106
Go West,238158
Só Se For Pelo Cabelo,238288
Rasul,238315
Palco (Live),238315
Caçador de Mim (Sá & Guarabyra),238341
Você Fugiu,238367
Guess Who's Back,238393
The Deepest Blues Are Black,238419
Seis Da Tarde,238445
Coração De Estudante,238550
Canção Noturna,238628
Morning Dance,238759
Around The World,238837
The Invisible Man,238994
Evil Dick,239020
It's Too Funky In Here,239072
Jealous Guy,239094
Miracle Drug,239124
Los Pretos,239229
Someday Never Comes,239360
I Am,239516
Something Got Me Started,239595
You Learn,239699
Wherever You May Go,239699
Ice 9,239721
Downtown,239725
Bush Doctor,239751
Never Before,239830
Feel It,239908
Poor Twisted Me,240065
Um Passeio No Mundo Livre,240091
Song For Lorraine,240091
Sobremesa,240091
Mellowship Slinky In B Major,240091
You Know My Name,240255
Lick It Up,240274
Prowler,240274
Realidade Virtual,240300
Emit Remmus,240300
Back to Black,240320
No One Like You,240325
Don't Tread On Me,240483
Angel,240561
Balada Do Amor Inabalável,240613
(White Man) In Hammersmith Palais,240640
Missa Papae Marcelli: Kyrie,240666
Your Mirror,240666
Faixa Amarela,240692
Blind Man,240718
The Fallen Angel,240718
I'm Losing You,240719
Requebra,240744
Something For Nothing,240770
Shining In The Light,240796
Uns Dias,240796
My Mistake,240901
Looks That Kill,240979
Don't Stand so Close to Me,241031
Balada Do Louco,241057
Voce Inteira,241084
O Amor Nao Sabe Esperar,241084
Malpractice,241371
Alô, Alô, Marciano,241397
Edie (Ciao Baby),241632
I Want It All,241684
Jump,241711
Heaven Coming Down,241867
Bleed The Freak,241946
Babyface,241998
Here I Am (Come And Take Me),242102
Caralho Voador,242102
The Everlasting Gaze,242155
Hallelujah Here She Comes,242364
L'Arc En Ciel De Miles,242390
Rock & Roll,242442
Sure Know Something,242468
Houses Of The Holy,242494
Você,242599
One Vision,242599
It Ain't Over 'Til It's Over,242703
Flash of The Blade,242729
Eu Amo Você,242782
Aviso Aos Navegantes,242808
Romaria,242834
Drifter,242834
The Gypsy,242886
Voce e Linda,242938
Red Mosquito,242991
Nobody's Home,243017
Johnny B. Goode,243200
Cold Hard Bitch,243278
Dona (Roupa Nova),243356
Cavalleria Rusticana \ Act \ Intermezzo Sinfonico,243436
Jean Pierre (Live),243461
Two Hearts Beat As One,243487
Let's See Action,243513
Saudade Louca,243591
The Power Of Equality,243591
Banditismo Por Uma Questa,243644
Brasil,243696
Tão Seu,243748
Mysterious Ways,243826
Real Thing,243879
Um Jantar Pra Dois,244009
Suzie-Q, Pt. 2,244114
Release,244114
Your Savior,244226
Minha Namorada,244297
Through The Never,244375
The Other Side,244375
Funk Hum,244453
I Could Have Lied,244506
À Francesa,244532
Trapped Under Ice,244532
Linha Do Equador,244715
Animal,244741
Romaria (Renato Teixeira),244793
It's The End Of The World As We Know It (And I Feel Fine),244819
Século XXI,244897
Falar A Verdade,244950
I Feel Good (I Got You) - Sossego,244976
Reggae Music,245106
Overkill,245133
Todo Amor (Asas Da Liberdade),245133
Emergency On Planet Earth,245263
Electrolite,245315
Radio Free Aurope,245315
Intoitus: Adorate Deum,245317
Wicked Garden,245368
Bad Seed,245394
Sapopemba e Maxambomba,245394
Pescador de Ilusões,245524
Os Exilados,245551
Caxangá,245551
Maquinarama,245629
Já Foi,245681
Bittersweet Me,245812
Selvagem,245890
Nem 5 Minutos Guardados,245995
Out On The Tiles,246047
Aquilo,246073
I Stand Alone,246125
Letterbomb,246151
Solo-Panhandler,246151
